ANT,MF,ICC,Sim,T1,W,k,ICC10
3.176655277495614,0.1976175085418783,0.3493687884679096,1,0.005125907346650196,0.6655490050171953,0.7182561226834715,0.7631485167506364
3.4023039514801874,0.2514746398920138,0.3983312965616856,1,0.005125907346650196,0.6655490050171953,0.7182561226834715,0.7631485167506364
2.8000518528120892,0.18518861460397415,0.24451139139194375,2,0.0012746487965637236,0.48905472199511313,0.0972829090233066,0.5451884812440733
2.796271637816245,0.12390886225773043,0.19948973431752115,2,0.0012746487965637236,0.48905472199511313,0.0972829090233066,0.5451884812440733
2.7530558735551534,0.42837623250489315,0.39815418183960855,3,0.0011026199416594923,0.2578904830015313,0.0538308694299359,0.7977819934344512
2.7212393470504503,0.3900689553176936,0.3322739009577821,3,0.0011026199416594923,0.2578904830015313,0.0538308694299359,0.7977819934344512
8.697992057306164,2.7558178376572764,0.3826512670712578,4,0.01413056192667151,0.6726276749527447,0.5267774080135164,0.7652290665702071
9.01015932937323,2.657340069209275,0.42615368806596826,4,0.01413056192667151,0.6726276749527447,0.5267774080135164,0.7652290665702071
3.347023732089428,0.5854039287108105,0.33219645285312693,5,0.0029993882586417625,0.27459300316761825,0.19186440610508354,0.83079445222514825
3.8806523350630098,0.6523350630096367,0.38805421857099126,5,0.0029993882586417625,0.27459300316761825,0.19186440610508354,0.83079445222514825
3.8712781509650434,0.3071855511760025,0.37623317661860156,6,0.004207976192761922,0.30451879746744176,0.3189445973142228,0.45185505801016745
4.463393881099479,0.37364507417409637,0.34582716274717124,6,0.004207976192761922,0.30451879746744176,0.3189445973142228,0.45185505801016745
5.11313056379822,0.732566765578635,0.40127579394761126,7,0.006109626140865087,0.21774180840940593,0.31508564830706803,0.4419676595435649
4.8673386200251985,0.8115319054324465,0.41526432902347715,7,0.006109626140865087,0.21774180840940593,0.31508564830706803,0.4419676595435649
10.775647295476775,4.859099045896617,0.40098148080000784,8,0.010482030904447295,0.3081818508221361,0.12884042241582833,0.7149152924312234
10.835155873521888,4.824480112688587,0.4037151668152684,8,0.010482030904447295,0.3081818508221361,0.12884042241582833,0.7149152924312234
3.661039513340606,0.3790470203206183,0.36517821599431116,9,0.004494793582688335,0.49218179247663657,0.3720801310922642,0.8284227661816254
3.6373083917900755,0.5084808670155513,0.4541314133464255,9,0.004494793582688335,0.49218179247663657,0.3720801310922642,0.8284227661816254
5.922062549705006,2.395087758234848,0.5213134216161527,10,0.009261897565209003,0.4301054753041684,0.2879492415053403,0.8544944233574998
7.5560081466395115,2.7106091464543605,0.45020925896546593,10,0.009261897565209003,0.4301054753041684,0.2879492415053403,0.8544944233574998
2.524700168684079,0.0797078614195414,0.16462306654893633,11,0.0017860344579664915,0.006136468908839286,0.3396131481462007,0.526801696926065
2.6321147616844054,0.04997686256362795,0.33449194053647174,11,0.0017860344579664915,0.006136468908839286,0.3396131481462007,0.526801696926065
6.5316979459139946,1.9838924190926557,0.5036585805303736,12,0.008914889229763523,0.5058050581271417,0.41009975959564327,0.848961893768067
5.746701651945748,1.7591189622676373,0.4881889577387537,12,0.008914889229763523,0.5058050581271417,0.41009975959564327,0.848961893768067
2.429532440095625,0.02965104427271548,0.18994480243993786,13,0.0016134216742570767,0.36097114157909477,0.502284156394914,0.48578413593189335
2.363851764096109,0.02036207471030321,0.10550292823238294,13,0.0016134216742570767,0.36097114157909477,0.502284156394914,0.48578413593189335
