Group,Population,X,Y
1,41,17160.194472263276,12374.393248518929
2,8,17376.706512783247,12374.393248518929
3,46,16943.682431743306,12157.881207998842
4,6,17160.194472263276,12157.881207998842
5,7,28851.84466034366,12157.881207998842
6,5,29068.35670086363,12157.881207998842
7,6,16727.17039122322,11941.369167478755
8,70,16943.682431743306,11941.369167478755
9,11,27336.260376703634,11941.369167478755
10,10,27552.772417223605,11941.369167478755
11,12,27769.284457743575,11941.369167478755
12,21,27985.796498263546,11941.369167478755
13,3,28202.308538783633,11941.369167478755
14,45,28418.820579303603,11941.369167478755
15,8,28635.332619823574,11941.369167478755
16,26,28851.84466034366,11941.369167478755
17,3,29068.35670086363,11941.369167478755
18,43,16727.17039122322,11724.857126958668
19,131,16943.682431743306,11724.857126958668
20,53,17160.194472263276,11724.857126958668
21,17,17376.706512783247,11724.857126958668
22,20,27119.748336183548,11724.857126958668
23,18,27336.260376703634,11724.857126958668
24,29,28418.820579303603,11724.857126958668
25,39,28635.332619823574,11724.857126958668
26,43,28851.84466034366,11724.857126958668
27,7,16727.17039122322,11508.345086438581
28,33,16943.682431743306,11508.345086438581
29,41,17160.194472263276,11508.345086438581
30,40,17376.706512783247,11508.345086438581
31,4,17593.218553303333,11508.345086438581
32,6,18675.778755903302,11508.345086438581
33,8,18892.290796423273,11508.345086438581
34,51,21706.947323183354,11508.345086438581
35,24,21923.45936370344,11508.345086438581
36,8,26903.236295663577,11508.345086438581
37,58,27119.748336183548,11508.345086438581
38,8,27336.260376703634,11508.345086438581
39,3,28202.308538783633,11508.345086438581
40,17,28418.820579303603,11508.345086438581
41,105,28635.332619823574,11508.345086438581
42,154,28851.84466034366,11508.345086438581
43,9,17809.730593823304,11291.833045918494
44,4,18675.778755903302,11291.833045918494
45,18,21490.435282663384,11291.833045918494
46,87,21706.947323183354,11291.833045918494
47,2,23222.531606823497,11291.833045918494
48,2,24738.115890463523,11291.833045918494
49,24,28635.332619823574,11291.833045918494
50,72,28851.84466034366,11291.833045918494
51,10,19758.338958503387,11075.321005398408
52,7,21057.411201623443,11075.321005398408
53,7,21273.923242143414,11075.321005398408
54,11,21490.435282663384,11075.321005398408
55,75,21706.947323183354,11075.321005398408
56,16,21923.45936370344,11075.321005398408
57,2,22139.97140422341,11075.321005398408
58,9,23222.531606823497,11075.321005398408
59,4,24738.115890463523,11075.321005398408
60,6,25171.139971503464,11075.321005398408
61,61,25387.65201202355,11075.321005398408
62,25,25604.16405254352,11075.321005398408
63,45,29068.35670086363,11075.321005398408
64,5,29284.8687413836,11075.321005398408
65,54,19325.31487746333,10858.80896487832
66,98,19541.8269179833,10858.80896487832
67,58,19758.338958503387,10858.80896487832
68,16,21057.411201623443,10858.80896487832
69,7,21273.923242143414,10858.80896487832
70,15,21706.947323183354,10858.80896487832
71,17,21923.45936370344,10858.80896487832
72,32,22139.97140422341,10858.80896487832
73,25,22356.483444743382,10858.80896487832
74,3,23006.01956630341,10858.80896487832
75,18,23222.531606823497,10858.80896487832
76,2,23439.043647343467,10858.80896487832
77,4,24305.091809423466,10858.80896487832
78,63,24521.603849943553,10858.80896487832
79,9,24738.115890463523,10858.80896487832
80,31,25387.65201202355,10858.80896487832
81,35,25604.16405254352,10858.80896487832
82,11,25820.676093063492,10858.80896487832
83,12,26686.724255143607,10858.80896487832
84,9,26903.236295663577,10858.80896487832
85,39,29068.35670086363,10858.80896487832
86,24,29284.8687413836,10858.80896487832
87,10,19108.80283694336,10642.296924358234
88,56,19325.31487746333,10642.296924358234
89,90,19541.8269179833,10642.296924358234
90,2,19758.338958503387,10642.296924358234
91,9,22789.50752578344,10642.296924358234
92,12,23006.01956630341,10642.296924358234
93,6,23222.531606823497,10642.296924358234
94,8,23439.043647343467,10642.296924358234
95,8,24088.579768903495,10642.296924358234
96,3,24305.091809423466,10642.296924358234
97,36,24521.603849943553,10642.296924358234
98,5,24738.115890463523,10642.296924358234
99,11,26037.18813358358,10642.296924358234
100,3,26253.70017410355,10642.296924358234
101,6,26470.21221462352,10642.296924358234
102,85,26686.724255143607,10642.296924358234
103,43,26903.236295663577,10642.296924358234
104,3,28635.332619823574,10642.296924358234
105,20,28851.84466034366,10642.296924358234
106,92,29068.35670086363,10642.296924358234
107,14,19325.31487746333,10425.784883838147
108,67,19541.8269179833,10425.784883838147
109,12,19758.338958503387,10425.784883838147
110,5,20840.899161103356,10425.784883838147
111,2,23222.531606823497,10425.784883838147
112,5,23655.555687863438,10425.784883838147
113,14,24088.579768903495,10425.784883838147
114,7,24521.603849943553,10425.784883838147
115,4,24738.115890463523,10425.784883838147
116,11,26037.18813358358,10425.784883838147
117,64,26253.70017410355,10425.784883838147
