Group,Population,X,Y
1,112,29595.81767325556,8482.087408306757
2,598,29571.68714555417,8143.831334117031
3,154,9320.485154429733,3850.7100020205025
4,270,9540.154307330768,3825.6483047398706
5,83,9851.298228749994,3937.415717547684
6,241,10271.907423889656,4080.167133530279
7,187,7953.236550833339,2231.4869954920655
8,216,6165.011819853853,2039.798253278395
9,100,5921.264545116673,1984.3204602975889
10,174,7165.872840580953,1848.1041892856983
11,137,6704.686780366679,2103.4304948052177
12,137,7102.249588881827,2197.5323296536276
13,149,8516.913645283335,1821.457724325263
14,116,8448.710775271433,2031.617689047652
15,129,8594.025080183872,2255.679871950725
16,108,8860.313495276929,2412.0856902016935
17,125,9342.27604516666,2499.34551004763
18,320,8419.637038570134,2662.0201572293813
19,245,9517.26854561526,2853.0944780306972
20,108,9097.258725623084,2590.384095970545
21,83,9219.81936860002,2699.00489954736
22,320,8935.896820401307,2733.006093982591
23,108,9124.272916700009,3049.8603513552484
24,187,8934.034880100011,3087.100265936406
25,104,9695.225860780009,3196.451563047561
26,154,9264.944260700016,3116.4620101287233
27,183,9534.800690790917,3313.4477151837464
28,149,9775.521958838894,3322.717432658661
29,212,9390.061699778438,3385.37505728285
30,100,9832.065304033353,3557.5488590475816
31,162,10102.02098252053,3426.5857475089806
32,191,9582.827494482604,3645.231018830141
33,162,9170.676519520512,3491.1909598169213
34,295,9332.583985361976,3630.896255385563
35,125,9663.884218866664,3612.342433714139
36,100,10004.552980408327,3626.6957236309095
37,249,9975.525707016674,3208.6265425475494
38,83,7318.244388550008,1472.838760047424
39,116,6971.062762807148,2017.249936547707
40,112,25494.871185107422,11135.251255714222
41,87,26683.64653979523,10140.10889761904
42,83,26597.778217500007,10345.755588547345
43,199,26574.69029261667,10542.12186738103
44,158,26872.427968989497,10738.086063521216
45,116,18475.307819342856,7723.124280476255
46,170,18307.496866578047,8261.792519291554
47,199,18312.90486742916,8769.10777175589
48,100,18256.728981575,8942.77459863111
49,324,18291.367098648716,9132.950206739904
50,154,18329.95329215946,9582.975570939378
51,83,17617.60647060002,9798.689186047592
52,112,18329.059307774096,9822.046552751272
53,232,18026.779568360707,9828.559746904808
54,104,18245.361153059992,9945.01188104758
55,158,18634.534124410533,10020.154794573871
56,120,18502.07139542414,9765.880049392548
57,83,22645.513745200016,9553.68578704737
58,174,27946.896687461915,9620.457234761943
59,162,16118.360351033349,9884.79570058607
60,174,16752.91796377143,10056.276760714172
61,170,15368.42126026098,9704.957921242578
62,100,22317.928629908343,9189.435054881063
63,104,15903.882088500004,9828.334746247549
64,224,21970.923149866667,8864.477045343834
65,108,15522.019729776925,8523.602833278337
66,357,15246.805673281397,8759.481545675517
67,162,15740.489893238468,8712.102034432171
68,295,15454.995246361965,8722.983525244821
69,178,16124.14485560697,8745.264482070663
70,112,14933.890316922229,9155.926659417984
71,141,16564.306290670593,8203.006605518298
72,149,16011.32217456111,8411.294628214202
73,149,9907.495659950006,3819.8164282144226
74,149,10912.339849227788,4044.462346269705
75,83,10361.918785349995,4252.956232047564
76,125,11527.956573133337,4294.313160047698
77,228,11195.49574360909,4293.8789426838985
78,95,10743.007300178248,4491.44958904755
79,91,10467.98653179092,4482.448361320405
80,87,10605.723166271431,4856.000582857235
81,149,15487.762344227776,6183.693696547618
82,145,8506.318370414296,3533.4007867620107
83,469,8681.8084084876209,3246.312242587426
84,83,8607.68395260002,4316.134963547456
85,241,8223.421993096563,4360.9302418061425
86,149,8246.391117283347,3448.1457087698777
87,112,8485.272699922234,3760.218944973614
88,95,8658.658242221736,3746.730687743184
89,158,8689.518923884214,4012.400379837087
90,141,8799.387106317665,4467.699433165357
91,199,4063.9852344291658,3102.975861964354
92,208,4491.008600340005,2804.2088744475127
93,129,2491.707432538719,3678.4341161444
94,241,3520.8215903379355,3001.5573461166214
95,261,2285.042523223813,3566.334239365001
96,183,6296.897424836372,427.0003558657902
97,100,6455.263885116673,548.4624019641141
98,195,412.7232573808566,3675.410847983821
99,224,202.54807349630624,3776.6195816401705
100,100,438.8099313666704,3565.8873311310253
101,108,1535.4409954692348,3072.5516755860335
102,95,2773.0627331347873,3573.2311264388763
103,145,2958.137590157145,3204.521889619015
104,87,6239.480383033336,0
105,145,5787.523749071437,72.42518104747643
106,170,6384.018311456098,53.272716608543135
107,286,6158.968019859424,111.18422701849175
108,100,5666.434296783339,222.4654232142825
109,87,5299.911598509534,285.07272428557985
110,353,5651.8015297705915,276.7589248122715
111,129,9146.177558054853,1123.801344209026
112,158,10082.159180278955,1197.6608345739328
113,141,9528.223621288238,1127.876468459392
114,141,10721.89053958236,1394.2381390474256
115,162,8771.443939443589,1633.8424713552654
116,87,11715.152663414285,1534.814483809329
117,199,10782.605011783337,1518.037430506
118,120,10626.3265847,1488.8502762887674
119,125,8466.196075266667,1639.903176714125
120,469,11048.907709018597,1745.3303420564189
121,170,9369.410331504883,1395.7355790475426
122,137,11890.019236033337,1792.2786026839008
123,162,8870.965387341017,2062.9624336629618
124,183,11856.819417290908,4119.828356092864
125,87,12561.56470589048,4256.226079047525
126,100,12369.75288878334,4213.871448630811
127,228,12037.714915336366,4390.524396502211
128,174,11685.784296985716,4560.373217857088
129,183,14280.127921086369,4599.110732229453
130,129,12781.069716183874,4764.210462595973
131,307,12349.691793686488,4660.459866480043
132,390,11857.464145082982,4800.356002664493
133,95,12318.291706308692,4916.578443395186
134,183,12604.651276404556,4836.550147911136
135,95,13370.29559774348,5055.416426873857
136,257,11589.886197264515,5214.428377273438
137,100,12413.43107911667,5089.745738214148
138,199,12551.854013512502,5132.675058839294
139,295,13067.947969347902,5176.328689047581
140,137,13072.073564518196,5427.087006623474
141,187,13889.227823833337,5297.051444380913
142,220,13404.006208869818,5376.731742066451
143,407,14565.489921842864,5168.643014251641
144,108,13254.94614043078,5662.3491171246715
145,187,16371.672365055554,7212.99734349207
146,91,15806.717730790908,7533.043987229535
147,83,15774.773973199999,7630.244946547522
148,141,15527.384674170591,7578.815820518198
149,149,16099.128525172231,7458.228058491996
150,125,16517.047612766662,7987.490838380922
151,374,16198.306940988889,6641.145759047503
152,125,19413.111881766676,8140.787121381007
153,154,18866.08004467298,7701.841856615112
154,328,19427.439950763302,7881.439121579137
155,83,23981.76033045001,10052.744166047516
156,178,23702.683457793035,10029.618249512769
157,154,23252.80628659189,9862.150690939476
158,91,25059.912239699992,9305.286880411022
159,112,24841.13016010743,9311.037147195862
160,170,24507.881211651227,9764.981558803614
161,232,24906.67161355715,9113.431913511806
162,149,26006.730244977785,8886.546301547549
163,133,26679.481771575003,9358.265941547515
164,178,26992.105330653492,9487.351785559284
165,137,29208.02985288182,10980.480248744612
