T1,W,k,ICC10,ANT,MF,ICC,Sim,weight
0.011784771785012874,0.3761139115928556,0.72355903738698,0.7686444211542184,6.146069266167453,1.5904780677188644,0.49092059341249694,1,0.035288567287689934
0.0101828453929738,0.2598104090004176,0.507680964200547,0.6646023974325075,6.242545503269376,1.6355890524133732,0.4914463141130075,2,0.035288567287689934
0.011436070013001462,0.41028529215809484,0.6946391000306693,0.7913533603972546,6.149878002315582,1.5448991257630134,0.4923469855409719,3,0.035288567287689934
0.008988617366830017,0.2618645201758826,0.4526843316131771,0.582793947642742,6.179637301262462,1.537590271887909,0.4870765027585877,4,0.035288567287689934
0.012290110649669058,0.001844880327634739,0.705374825808207,0.5253808907618196,6.309222451591934,1.6187428035812061,0.48762940779795905,5,0.035288567287689934
0.0098459391219222,0.1495929825180063,0.44856248640971963,0.6269109184564,6.102538911991837,1.599518389049779,0.4938986368769137,6,0.035288567287689934
0.010271538913369611,0.20730133552778562,0.5479734631427955,0.6365219010973973,6.157224093060547,1.5734029508751854,0.4954060412984286,7,0.035288567287689934
0.009940979825937082,0.17694325296509317,0.5144658211213319,0.6592213447836179,6.060214392000992,1.526313330353461,0.4940376078503796,8,0.035288567287689934
0.01056579889966098,0.07408401774935991,0.5691430023566738,0.5687695178270936,6.026193554473593,1.6079041056327954,0.49434211190605215,9,0.035288567287689934
0.009506038515400512,0.3381624771429714,0.49582755322933986,0.7630451036209004,6.121111827669845,1.7052460443105497,0.49226198291073614,10,0.035288567287689934
0.011366450416488117,0.3491803550882504,0.6741812643067182,0.7500649676608393,6.050679724422428,1.6417964188487484,0.49529636647017505,11,0.035288567287689934
0.01208188768173739,0.5469230021222792,0.7009091171789807,0.7792620222042992,6.129675191955297,1.5343731425625555,0.4828767859376646,12,0.035288567287689934
0.01187927689482925,0.2809515322953381,0.6747713778110922,0.6684372785417543,6.32762051447875,1.6161621998581541,0.4827529373886408,13,0.035288567287689934
0.011243624847563508,0.21902829833471882,0.664865361579363,0.6950722645701077,6.11222260930759,1.6174581903763654,0.49942564020874236,14,0.035288567287689934
0.012101476343903742,0.4170709926039282,0.7402906052546523,0.7636160398991773,6.358766826759016,1.521144920028981,0.4830151198184748,15,0.035288567287689934
0.011047164815779244,0.3565399477481985,0.6523817548053694,0.6790752822300575,6.210082508698782,1.50986211793881,0.4810241129208416,16,0.035288567287689934
0.009949243603939248,0.09208112012849273,0.5277452602339934,0.5792616646033114,5.957296137805789,1.5579666873536906,0.48499212673821196,17,0.035288567287689934
0.009909276101779507,0.17579560028483382,0.5370964616130164,0.5903185852477875,5.9198549905617845,1.5379508814954812,0.49001358804731554,18,0.035288567287689934
0.010657482540160402,0.4406634552408817,0.5944561289933663,0.6630344585531516,6.355814649700873,1.506959583625457,0.4824449846336326,19,0.035288567287689934
