Group,Population,X,Y
1,51,17160.194472263276,12374.393248518929
2,54,16943.682431743306,12157.881207998842
3,73,16943.682431743306,11941.369167478755
4,11,27336.260376703634,11941.369167478755
5,11,27552.772417223605,11941.369167478755
6,12,27769.284457743575,11941.369167478755
7,22,27985.796498263546,11941.369167478755
8,59,28418.820579303603,11941.369167478755
9,43,28851.84466034366,11941.369167478755
10,51,16727.17039122322,11724.857126958668
11,136,16943.682431743306,11724.857126958668
12,55,17160.194472263276,11724.857126958668
13,17,17376.706512783247,11724.857126958668
14,22,27119.748336183548,11724.857126958668
15,28,27336.260376703634,11724.857126958668
16,31,28418.820579303603,11724.857126958668
17,41,28635.332619823574,11724.857126958668
18,46,28851.84466034366,11724.857126958668
19,42,16943.682431743306,11508.345086438581
20,43,17160.194472263276,11508.345086438581
21,58,17376.706512783247,11508.345086438581
22,53,21706.947323183354,11508.345086438581
23,25,21923.45936370344,11508.345086438581
24,70,27119.748336183548,11508.345086438581
25,20,28418.820579303603,11508.345086438581
26,109,28635.332619823574,11508.345086438581
27,162,28851.84466034366,11508.345086438581
28,19,21490.435282663384,11291.833045918494
29,90,21706.947323183354,11291.833045918494
30,24,28635.332619823574,11291.833045918494
31,77,28851.84466034366,11291.833045918494
32,10,19758.338958503387,11075.321005398408
33,18,21490.435282663384,11075.321005398408
34,78,21706.947323183354,11075.321005398408
35,20,21923.45936370344,11075.321005398408
36,70,25387.65201202355,11075.321005398408
37,25,25604.16405254352,11075.321005398408
38,53,29068.35670086363,11075.321005398408
39,75,19325.31487746333,10858.80896487832
40,102,19541.8269179833,10858.80896487832
41,60,19758.338958503387,10858.80896487832
42,37,21057.411201623443,10858.80896487832
43,16,21706.947323183354,10858.80896487832
44,18,21923.45936370344,10858.80896487832
45,34,22139.97140422341,10858.80896487832
46,27,22356.483444743382,10858.80896487832
47,44,23222.531606823497,10858.80896487832
48,87,24521.603849943553,10858.80896487832
49,33,25387.65201202355,10858.80896487832
50,36,25604.16405254352,10858.80896487832
51,11,25820.676093063492,10858.80896487832
52,22,26686.724255143607,10858.80896487832
53,42,29068.35670086363,10858.80896487832
54,24,29284.8687413836,10858.80896487832
55,68,19325.31487746333,10642.296924358234
56,93,19541.8269179833,10642.296924358234
57,34,23006.01956630341,10642.296924358234
58,45,24521.603849943553,10642.296924358234
59,15,26037.18813358358,10642.296924358234
60,88,26686.724255143607,10642.296924358234
61,45,26903.236295663577,10642.296924358234
62,24,28851.84466034366,10642.296924358234
63,95,29068.35670086363,10642.296924358234
64,14,19325.31487746333,10425.784883838147
65,69,19541.8269179833,10425.784883838147
66,15,19758.338958503387,10425.784883838147
67,30,24088.579768903495,10425.784883838147
68,12,26037.18813358358,10425.784883838147
69,66,26253.70017410355,10425.784883838147
70,53,26470.21221462352,10425.784883838147
71,123,26686.724255143607,10425.784883838147
72,29,26903.236295663577,10425.784883838147
73,85,28635.332619823574,10425.784883838147
74,124,28851.84466034366,10425.784883838147
75,47,29068.35670086363,10425.784883838147
76,29,19541.8269179833,10209.27284331806
77,27,19758.338958503387,10209.27284331806
78,26,24521.603849943553,10209.27284331806
79,50,26253.70017410355,10209.27284331806
80,95,26470.21221462352,10209.27284331806
81,87,26686.724255143607,10209.27284331806
82,59,28635.332619823574,10209.27284331806
83,121,28851.84466034366,10209.27284331806
84,15,29068.35670086363,10209.27284331806
85,18,16294.146310183278,9992.760802797973
86,46,16510.65835070325,9992.760802797973
