Sim	T1	W	k	Antigen_2016	MF_2016
1	0.005231241194996983	0.42481335476040843	0.018847247399389744	6.445477599323753	3.7846768615999387
1	0.005231241194996983	0.42481335476040843	0.018847247399389744	6.521697370190369	3.7190003265651113
1	0.005231241194996983	0.42481335476040843	0.018847247399389744	6.337676313463238	3.643491294823014
1	0.005231241194996983	0.42481335476040843	0.018847247399389744	6.41430677618856	3.7126390564267524
1	0.005231241194996983	0.42481335476040843	0.018847247399389744	6.275820987298476	3.631751887934513
2	0.006914607661310583	0.4328420523554087	0.12692194178234786	10.575926281435976	3.4536379343444037
2	0.006914607661310583	0.4328420523554087	0.12692194178234786	9.879952441222722	3.3482913358646877
2	0.006914607661310583	0.4328420523554087	0.12692194178234786	9.902256500324539	3.260662059486083
2	0.006914607661310583	0.4328420523554087	0.12692194178234786	10.148704583780468	3.395676835811743
2	0.006914607661310583	0.4328420523554087	0.12692194178234786	10.139866848295313	3.40169989063909
3	0.009148977899458259	0.4903816422447562	0.1500073632225394	1.964802083532814	0
3	0.009148977899458259	0.4903816422447562	0.1500073632225394	1.9465371524723698	0
3	0.009148977899458259	0.4903816422447562	0.1500073632225394	2.011906812917552	0
3	0.009148977899458259	0.4903816422447562	0.1500073632225394	1.8429824897505651	0
3	0.009148977899458259	0.4903816422447562	0.1500073632225394	12.220671725957219	4.153843212968096
3	0.009148977899458259	0.4903816422447562	0.1500073632225394	12.380423968776306	4.509451289507921
3	0.009148977899458259	0.4903816422447562	0.1500073632225394	13.484587401876317	4.912885314953092
3	0.009148977899458259	0.4903816422447562	0.1500073632225394	13.49901320201575	4.968479947881738
3	0.009148977899458259	0.4903816422447562	0.1500073632225394	12.810472570924029	4.574071941341319
4	0.003108046578709036	0.3232885675504804	0.014828711561858653	4.779777862887783	2.267330524703179
4	0.003108046578709036	0.3232885675504804	0.014828711561858653	5.064675853068745	2.4546117529651097
4	0.003108046578709036	0.3232885675504804	0.014828711561858653	4.5925527211211286	2.1991964474518926
4	0.003108046578709036	0.3232885675504804	0.014828711561858653	4.7345081998547345	2.286020107802286
4	0.003108046578709036	0.3232885675504804	0.014828711561858653	4.595443076982338	2.2052733961210302
5	0.005117882348131388	0.10655079800635577	0.21631467395927756	5.823918223042042	0.962646991007609
5	0.005117882348131388	0.10655079800635577	0.21631467395927756	5.085555874199407	0.8010706433419368
5	0.005117882348131388	0.10655079800635577	0.21631467395927756	5.597414518473189	0.8261301919987761
5	0.005117882348131388	0.10655079800635577	0.21631467395927756	5.003645293733932	0.8058017727639
5	0.005117882348131388	0.10655079800635577	0.21631467395927756	6.075115392718288	1.03997088847605
6	0.007499184091575444	0.14818474985659122	0.2736843060934916	6.861165458242222	1.3714658380327618
6	0.007499184091575444	0.14818474985659122	0.2736843060934916	6.807695989279219	1.3362687852972146
6	0.007499184091575444	0.14818474985659122	0.2736843060934916	7.483513332696168	1.5406671126827869
6	0.007499184091575444	0.14818474985659122	0.2736843060934916	6.870902189333231	1.2461178635788506
6	0.007499184091575444	0.14818474985659122	0.2736843060934916	6.509591566334466	1.307679013768074
7	0.002090229648165405	0.6331607224419713	0.052686173398979005	4.645215466239169	1.0897362494751708
7	0.002090229648165405	0.6331607224419713	0.052686173398979005	4.325573401065638	0.9567824608979623
