what	T1	W	k
mode	0.004617456826670439	0.0941840920545713	0.1325797539047509
mean	0.004525497711936126	0.1818872030608737	0.12918695863345409
median	0.004585814591960409	0.11835553231104337	0.13049485785583045
quantile_50_lower_bound	0.004190970065198897	0.06263759560276985	0.11121527740194653
quantile_50_upper_bound	0.004883441046201434	0.195540740874165	0.1452008170997988
quantile_90_lower_bound	0.0030722885258927706	-0.0360673617781522	0.07651992473001024
quantile_90_upper_bound	0.005179400534528609	0.8433414027076686	0.1588689012504622
quantile_95_lower_bound	0.0030722885258927706	-0.0360673617781522	0.07651992473001024
quantile_95_upper_bound	0.006432766265320295	0.8433414027076686	0.19289647169606172
quantile_99_lower_bound	0.0030722885258927706	-0.0360673617781522	0.07651992473001024
quantile_99_upper_bound	0.006432766265320295	0.8433414027076686	0.19289647169606172
HPD_50_lower_bound	0.004585814591960409	0.08844796681215927	0.11121527740194653
HPD_50_upper_bound	0.005179400534528609	0.195540740874165	0.13876877320880604
HPD_90_lower_bound	0.0032916810410269105	-0.0360673617781522	0.09473818593998407
HPD_90_upper_bound	0.005179400534528609	0.4520089469026877	0.1588689012504622
HPD_95_lower_bound	0.0030722885258927706	-0.0360673617781522	0.07651992473001024
HPD_95_upper_bound	0.005179400534528609	0.8433414027076686	0.1588689012504622
HPD_99_lower_bound	0.0030722885258927706	-0.0360673617781522	0.07651992473001024
HPD_99_upper_bound	0.006432766265320295	0.8433414027076686	0.19289647169606172
