ANT,MF,ICC,Sim,T1,W,k,ICC10
3.4985906151550323,0.1860756461983456,0.34526643914260735,1,0.004537147314689738,0.547758776027203,0.51835015472649415,0.5220410765578374
3.2806200408696773,0.1343912811355143,0.26858909110835666,1,0.004537147314689738,0.547758776027203,0.51835015472649415,0.5220410765578374
5.566456867826731,1.4476119955572009,0.4942003159936075,2,0.009747119196085445,0.013698980689371934,0.5559913148163337,0.5527287518762938
5.599021098298046,1.5554896362490267,0.4725419821747321,2,0.009747119196085445,0.013698980689371934,0.5559913148163337,0.5527287518762938
5.566041227193664,1.1787128529662116,0.3162482575077419,3,0.00426508075490985,0.6265657244077119,0.13717129449398005,0.5248619999204054
5.568681014433903,1.3917088116947838,0.3485057687718008,3,0.00426508075490985,0.6265657244077119,0.13717129449398005,0.5248619999204054
4.570180956962588,0.3737556895977501,0.3859922803205163,4,0.006725856640603902,0.5581877095864722,0.5931861442473526,0.5782352833014306
4.478526468239969,0.3509293128098483,0.3798282088184388,4,0.006725856640603902,0.5581877095864722,0.5931861442473526,0.5782352833014306
2.910131020483484,0.2029894814541428,0.2964546327566493,5,0.00268816000529036,0.19128954647766094,0.3051709819365209,0.7088330811442065
2.8019520884748848,0.24122766324618214,0.3657724576563501,5,0.00268816000529036,0.19128954647766094,0.3051709819365209,0.7088330811442065
4.820596588272418,0.9540957436935014,0.43807568078811504,6,0.005054236080330124,0.5274577649569174,0.26267821934005936,0.6207877456964579
4.876376172294918,0.7580531563924825,0.3382504001560535,6,0.005054236080330124,0.5274577649569174,0.26267821934005936,0.6207877456964579
3.274927378022832,0.35709660110644437,0.3007576269726168,7,0.0014645894813897584,0.5418984059046182,0.07508049334789221,0.34990709791441366
3.4345859108115593,0.360077555165728,0.25764800315829145,7,0.0014645894813897584,0.5418984059046182,0.07508049334789221,0.34990709791441366
2.248687033064576,0.042532731710925364,0.3701397205595378,8,0.0015706132181658294,0.021247362815647264,0.4516172518572743,0.6852445783863944
2.2192171609580797,0.04631087564603672,0.2543748119516485,8,0.0015706132181658294,0.021247362815647264,0.4516172518572743,0.6852445783863944
1.9663648124191462,0.0036961744594344852,NA,9,4.506992836821478e-4,0.4671087232322001,0.5913796748609683,0.5228175152200375
