ANT,MF,ICC,Sim,T1,W,k
0.9120078220264218,5.619271854753061e-4,NA,1,6.875249389571109e-4,0.25673522851451475,0.41777102277995387
0.9481707830834648,0,NA,1,6.875249389571109e-4,0.25673522851451475,0.41777102277995387
0.8738326930087775,0,NA,2,9.224072545442518e-5,0.23953270488949557,0.7140628446277865
0.8877000549555308,0,NA,2,9.224072545442518e-5,0.23953270488949557,0.7140628446277865
1.2851996920465978,0.005619587634659369,0.23563349199635342,3,0.005360466291889779,0.5843242192499893,0.7420758926430219
1.3412875237811963,0.011785371547868252,0.1424365466070576,3,0.005360466291889779,0.5843242192499893,0.7420758926430219
1.5007743207095592,0.03716739405884837,0.19572277382690317,4,0.005535586623335727,0.1201389300145436,0.38437259133660684
1.5313488340739159,0.040446484245532634,0.2494936342184107,4,0.005535586623335727,0.1201389300145436,0.38437259133660684
1.1104066254074951,0.007855327314656357,0.25229222349005637,5,0.003103561465521526,0.0214722653073797,0.5963193754326622
1.209505181987815,0.00955464130752456,0.4306513896705858,5,0.003103561465521526,0.0214722653073797,0.5963193754326622
1.359791509868458,0.016288291526718415,0.3067049729454639,6,0.002821862649160305,0.700595748639646,0.23743899595162626
1.2476487268031107,0.012914455767988994,0.2511156397494203,6,0.002821862649160305,0.700595748639646,0.23743899595162626
