Group,Population,X,Y
1,32,17322.578502653225,12645.033299168572
2,127,16781.29840135324,12103.753197867423
3,27,17322.578502653225,12103.753197867423
4,34,27606.90042735351,12103.753197867423
5,43,28148.180528653495,12103.753197867423
6,80,28689.460629953595,12103.753197867423
7,223,16781.29840135324,11562.473096568137
8,173,17322.578502653225,11562.473096568137
9,20,18946.418806553294,11562.473096568137
10,137,21652.819313053333,11562.473096568137
11,129,27065.620326053526,11562.473096568137
12,18,28148.180528653495,11562.473096568137
13,464,28689.460629953595,11562.473096568137
14,203,19487.69890785328,11021.192995268852
15,24,20028.979009153263,11021.192995268852
16,44,21111.53921175335,11021.192995268852
17,176,21652.819313053333,11021.192995268852
18,77,22194.099414353317,11021.192995268852
19,38,23276.659616953402,11021.192995268852
20,71,24359.219819553487,11021.192995268852
21,16,24900.499920853472,11021.192995268852
22,164,25441.780022153456,11021.192995268852
23,11,25983.06012345344,11021.192995268852
24,13,26524.34022475354,11021.192995268852
25,25,28689.460629953595,11021.192995268852
26,121,29230.74073125358,11021.192995268852
27,281,19487.69890785328,10479.912893967703
28,14,22735.379515653418,10479.912893967703
29,28,23276.659616953402,10479.912893967703
30,17,23817.939718253387,10479.912893967703
31,82,24359.219819553487,10479.912893967703
32,88,25983.06012345344,10479.912893967703
33,416,26524.34022475354,10479.912893967703
34,71,27065.620326053526,10479.912893967703
35,356,28689.460629953595,10479.912893967703
36,151,29230.74073125358,10479.912893967703
37,10,13533.617793553101,9938.632792668417
38,86,14074.897894853086,9938.632792668417
39,70,14616.177996153187,9938.632792668417
40,16,15157.458097453171,9938.632792668417
41,123,15698.738198753155,9938.632792668417
42,126,16240.018300053256,9938.632792668417
43,137,16781.29840135324,9938.632792668417
44,13,17322.578502653225,9938.632792668417
45,225,17863.85860395321,9938.632792668417
46,478,18405.13870525331,9938.632792668417
47,63,18946.418806553294,9938.632792668417
48,52,19487.69890785328,9938.632792668417
49,300,23276.659616953402,9938.632792668417
50,222,23817.939718253387,9938.632792668417
51,85,24359.219819553487,9938.632792668417
52,138,26524.34022475354,9938.632792668417
53,18,27065.620326053526,9938.632792668417
54,146,28689.460629953595,9938.632792668417
55,11,29230.74073125358,9938.632792668417
56,375,13533.617793553101,9397.352691367269
57,803,14074.897894853086,9397.352691367269
58,354,14616.177996153187,9397.352691367269
