T1,k,AntLoss,MdaEffect,ANT,MF,Sim,weight
0.0029600391956239353,0.010931359028399538,3.313866865294809,0.6308009066755607,1.1271045400628519,0.3889916503320646,1,0.027360160397256465
0.0031876408975667005,0.012426205487446359,30.47172882127451,0.6695227444095049,1.1345628239568244,0.3920490977495962,2,0.027360160397256465
0.0026264092005615063,0.01039421292087183,11.751319877692964,0.6235449799639265,1.1323667078258899,0.3932805099565536,3,0.027360160397256465
0.0032334536145495296,0.014291333561682454,5.948071992779057,0.6641645895421888,1.1391633991135253,0.39110139593737425,4,0.027360160397256465
0.0033206305477038642,0.010300387301007605,13.465850565096787,0.6350246775762105,1.1366313118047107,0.39375346258111865,5,0.027360160397256465
0.002789017739404746,0.010213863981880325,8.997697696943044,0.6274618211899076,1.1194104504294318,0.3919558135187544,6,0.027360160397256465
0.003230827322023052,0.014054052238055574,36.03650180790421,0.6768847132569961,1.1190736221777287,0.39286659011640357,7,0.027360160397256465
0.002707863386979943,0.013665577855460978,10.08366487260325,0.6139653284065338,1.1427105482695332,0.3902915931839307,8,0.027360160397256465
0.003142964040271537,0.012712173137698237,32.35296004844524,0.6581979548454818,1.1385728024669484,0.39490257307637,9,0.027360160397256465
0.0031162102666462553,0.012873595662039465,17.70447465450622,0.6638700538778237,1.132652635737725,0.38347576552809737,10,0.027360160397256465
0.0030807727446703595,0.01272385742895696,22.380701362757073,0.6502960416805172,1.1441145989991195,0.3922397172654676,11,0.027360160397256465
0.003332919049902273,0.011808106057524071,11.19502992654369,0.6658594372266368,1.1142628078969652,0.3906660867183502,12,0.027360160397256465
0.002728215245321859,0.013137595252606887,15.738399248228417,0.6360203863038242,1.1137451502476439,0.3900449208270753,13,0.027360160397256465
0.0030406752098355015,0.011773680256038793,6.37059562202132,0.641496639136578,1.1299139688773425,0.38215685569763186,14,0.027360160397256465
0.0030322622992270776,0.01132634699621963,32.730611941520834,0.6621412687172984,1.1153626908311127,0.3935748083658671,15,0.027360160397256465
0.003429657168267343,0.012458355219810032,29.256937295741096,0.6842220959392621,1.1370090912452562,0.3972919750782924,16,0.027360160397256465
0.003484431726375253,0.013234605786009353,13.160142513152906,0.6712371646711561,1.1459767274551749,0.3923720896835306,17,0.027360160397256465
0.003072232476852133,0.011757462649590832,19.615720137588497,0.6681110581102169,1.1187240336143134,0.38379128045970934,18,0.027360160397256465
0.00312760846460507,0.010843679490548321,8.489694387482029,0.6400781267105761,1.1326076859127778,0.39817339607252356,19,0.027360160397256465
0.003043255176346817,0.010479191787684621,8.727790839510867,0.6389657603781398,1.1162196611703643,0.39527369252881184,20,0.027360160397256465
0.003295605654598018,0.011195991876323025,31.139054205238317,0.6642631585944068,1.1122904020409958,0.3915206298935515,21,0.027360160397256465
0.003209359838184278,0.012039664374026189,29.42935423444154,0.6814342540484012,1.1443790814161305,0.39534033987896516,22,0.027360160397256465
0.003167902681639415,0.010717427593807444,17.787845914119522,0.6371090529286219,1.125191246383652,0.38154021581750364,23,0.027360160397256465
0.0034355409481468696,0.013732127528755666,10.067127745345658,0.6590299046281715,1.120986498063951,0.3977595631361578,24,0.027360160397256465
0.003497989902725203,0.014723992400040525,4.959538793939416,0.6562518847540098,1.1408535111713523,0.3972186694838352,25,0.027360160397256465
0.003475023173909977,0.014866681961079514,11.359066573530315,0.6917190513364173,1.1484368391475157,0.3891642608460383,26,0.027360160397256465
0.0029162805296698855,0.011164078112256514,2.5514713583383974,0.6224674044193262,1.146635364786952,0.3945823561397681,27,0.027360160397256465
0.0030567850192714146,0.01071960701843267,45.14892890097806,0.6796769432797305,1.110190765655267,0.38782300817641624,28,0.027360160397256465
0.003224743475314455,0.016947286211228308,7.741666475561939,0.65383588758879,1.1397389517797245,0.3813958852683377,29,0.027360160397256465
0.003066099429279199,0.016855444390032868,5.627143940870569,0.6289369174784287,1.1435460074279509,0.39750846609206597,30,0.027360160397256465
0.0033546700891634307,0.017173308701970084,12.087843924463897,0.6579159452188038,1.1189501497835703,0.3985856265706488,31,0.027360160397256465
0.0031883711837933384,0.01311232155413262,3.0882830053513644,0.6485062633708236,1.151602559049028,0.3924933063037378,32,0.027360160397256465
0.0029194566332377205,0.01101689660972267,19.63400323701474,0.6345288501987545,1.107601482394726,0.3914354048841394,33,0.016452942301672418
0.002950787681847474,0.010005159097677642,13.993758157774565,0.6091532096166706,1.140276213514523,0.39985224474812475,34,0.025386904696973855
0.002907202398494783,0.011384781952599954,29.2685190798538,0.6379591661703587,1.1488692273862322,0.3963285410497398,35,0.02222438785247841
0.0030180075158737,0.010945019266723349,13.748808223376145,0.6337676793202379,1.1222207398211,0.3795301139573678,36,0.025068180356765862
0.00343867511586481,0.01250633595726857,26.667856980076696,0.6478316077852961,1.152634849507117,0.3935446889572411,37,0.00371726944982182
0.003315450248541128,0.013948772090340022,16.704807181713324,0.658929754545457,1.1405152545799981,0.37967535840694877,38,0.0029416228800098303
0.0026842859216910974,0.010683410650714998,29.698095654652825,0.6194900501320113,1.1515787870743326,0.38488395280304505,39,0.0016633970887928154
0.0034383070641124482,0.013997362232030477,11.302675571238398,0.6839609168331917,1.10609270110684,0.3929197814297155,40,0.00201820365266013
0.0032714376616185497,0.014119019941122492,9.778943573778012,0.6633911537287872,1.1057198253542113,0.39234182320606825,41,0.0023792524090183566
0.0033597088833917156,0.012552741732871305,19.88631109911446,0.6855805935227156,1.1232846375893275,0.4016793029632151,42,0.001528261544558321
0.003475343435468068,0.016350570319231077,22.11853012400028,0.6819549409840076,1.1555410945899909,0.38766212005215833,43,0.004119855830481878
0.003086734095863354,0.013392426587666626,33.93755521699639,0.67113847589476,1.138182600977121,0.377489957261293,44,0.0026030789847242453
0.003280321194473301,0.013981716145817093,17.010986014005585,0.686989313619545,1.1282146568009703,0.4031844072879097,45,0.004526221106790783
0.003185080649263352,0.011396514761907362,19.020233133849246,0.6494260014852261,1.102907376002186,0.3869121003713692,46,0.0017033528132772452
0.0027566826281027706,0.011659610545992401,20.28965243397935,0.6372262920878262,1.1483845894236917,0.3798617544175341,47,0.0025191443674738145
