number	T1	T1_density	W	W_density	k	k_density
1	0.002780497089139574	2.4155553091136666	-0.0920697081170772	0.021690270355793025	0.06219919544412442	0.049035789866552874
2	0.0028203360852298155	7.594884461493038	-0.08205543077198961	0.09233159767486877	0.06366402378289031	0.11732004762870588
3	0.002860175081320057	20.0878978850575	-0.07204115342690204	0.29956418902347065	0.0651288521216562	0.25539232980792387
4	0.002900014077410299	44.96541435280274	-0.06202687608181445	0.7260611502675048	0.06659368046042209	0.5059636724979298
5	0.0029398530735005404	85.5788530904431	-0.05201259873672687	1.3331195063799692	0.06805850879918798	0.9123919279354884
6	0.002979692069590782	138.11502596736278	-0.04199832139163928	1.8734422375559887	0.06952333713795386	1.4977792012423716
7	0.0030195310656810238	190.55652389166002	-0.0319840440465517	2.089602690388148	0.07098816547671975	2.2384859752299286
8	0.0030593700617712652	227.6467506638838	-0.02196976670146412	2.0264817260232806	0.07245299381548564	3.045965765050918
9	0.0030992090578615067	243.04239449888598	-0.011955489356376539	1.9467919559345959	0.07391782215425154	3.7738611188392857
10	0.003139048053951748	245.05323087543135	-0.001941212011288957	1.9314547224779726	0.07538265049301743	4.2573969829739715
11	0.0031788870500419897	249.50340349330602	0.008073065333798625	1.7896354017745517	0.07684747883178332	4.37513938307954
12	0.0032187260461322316	263.61735976401144	0.018087342678886207	1.4366660067368475	0.07831230717054921	4.106513628939551
13	0.003258565042222473	277.2024956311066	0.02810162002397379	1.1234857182170346	0.0797771355093151	3.5463529070248674
14	0.0032984040383127146	271.05435926788334	0.038115897369061374	1.2028387116938997	0.081241963848081	2.8813601686378525
15	0.0033382430344029565	234.48655598871156	0.04813017471414895	1.801109456464158	0.08270679218684687	2.340164407769394
16	0.003378082030493198	175.08904885074176	0.05814445205923653	2.7734360971635574	0.08417162052561276	2.1427800049709607
17	0.0034179210265834394	111.45076605842306	0.06815872940432412	3.885791584142997	0.08563644886437866	2.461680909714914
18	0.003457760022673681	60.288604877924804	0.0781730067494117	4.900808389417649	0.08710127720314455	3.387908633506736
19	0.0034975990187639224	27.615779059737925	0.08818728409449927	5.532715152910961	0.08856610554191044	4.891924229462878
20	0.0035374380148541643	10.714891821745507	0.09820156143958686	5.553336761092028	0.09003093388067633	6.787266409323979
21	0.0035772770109444058	3.8305476410066737	0.10821583878467445	4.988412340254219	0.09149576221944222	8.729008600489475
22	0.0036171160070346473	2.299274995264592	0.11823011612976203	4.06940157073474	0.09296059055820811	10.277763914944094
23	0.003656955003124889	4.85015240606507	0.12824439347484962	3.140351877872978	0.094425418896974	11.039069422976164
24	0.0036967939992151306	13.86385962389369	0.1382586708199372	2.59228129020668	0.09589024723573988	10.816643864950588
25	0.003736632995305372	34.82121018267044	0.1482729481650248	2.6381249231083097	0.09735507557450578	9.69589487457453
26	0.0037764719913956136	74.10921422860201	0.15828722551011234	3.1361296349997065	0.09881990391327167	8.020347013247733
27	0.003816310987485855	134.0216983552601	0.16830150285519993	3.710877187988271	0.10028473225203756	6.270123395964924
28	0.003856149983576097	206.1112878207029	0.17831578020028752	4.019614986793221	0.10174956059080345	4.907256459545393
29	0.0038959889796663385	272.0040988660784	0.1883300575453751	3.8412727218103897	0.10321438892956934	4.254447453260314
30	0.00393582797575658	314.44120749505646	0.1983443348904627	3.1148391236361412	0.10467921726833523	4.437310119773509
31	0.003975666971846822	333.34057960362065	0.20835861223555027	2.0710928253468586	0.10614404560710113	5.382586989809492
32	0.004015505967937063	351.24086677132976	0.21837288958063786	1.0971740863690307	0.10760887394586702	6.854496267859335
33	0.004055344964027305	397.91796792514197	0.22838716692572542	0.45169664347983834	0.1090737022846329	8.52214673671765
34	0.004095183960117547	486.1372010805446	0.238401444270813	0.14475788246099422	0.11053853062339879	10.053581079131533
35	0.004135022956207788	595.01325915891	0.2484157216159006	0.03498154748266355	0.11200335896216468	11.225579717954417
36	0.00417486195229803	681.4258667571269	0.25842999896098817	0.007178039580008323	0.11346818730093057	11.990787223172285
37	0.004214700948388271	705.384320576223	0.26844427630607576	0.00523428244645241	0.11493301563969646	12.4644979296371
38	0.004254539944478513	660.4438668174322	0.27845855365116334	0.023330423858536585	0.11639784397846235	12.830073793486275
39	0.0042943789405687546	575.610508709871	0.28847283099625093	0.09182810113908661	0.11786267231722825	13.216649245205387
40	0.004334217936658996	496.47636543414563	0.2984871083413385	0.27549629256696767	0.11932750065599414	13.630712600284985
41	0.0043740569327492375	456.5591554084211	0.3085013856864261	0.6175448450232571	0.12079232899476003	13.98993528399582
42	0.0044138959288394794	463.69431472402226	0.3185156630315137	1.0410054961216357	0.12225715733352592	14.231429243992467
43	0.0044537349249297205	509.6136094789518	0.32852994037660127	1.318847963860767	0.1237219856722918	14.405302261381289
44	0.004493573921019962	582.0122326241484	0.33854421772168886	1.253411835003183	0.1251868140110577	14.671065190984313
45	0.004533412917110204	666.0194750147107	0.3485584950667764	0.895606355390316	0.1266516423498236	15.190083534481515
46	0.004573251913200445	738.1585008150354	0.35857277241186397	0.48072186127622457	0.12811647068858947	15.98951108349555
47	0.004613090909290687	771.1556274106346	0.36858704975695156	0.19369281674607416	0.12958129902735535	16.903656715592998
48	0.004652929905380928	755.8846469412529	0.37860132710203914	0.05920105445661377	0.13104612736612126	17.647102766640334
49	0.00469276890147117	713.3121807837067	0.38861560444712673	0.01693022076546677	0.13251095570488713	17.959980409767645
50	0.004732607897561412	681.856545920687	0.3986298817922143	0.021376594094631097	0.13397578404365304	17.732430239988204
51	0.004772446893651653	683.232466709285	0.4086441591373019	0.07645038585283814	0.13544061238241892	17.034158929361368
52	0.004812285889741895	703.0394433870433	0.4186584364823895	0.22817169976535384	0.13690544072118482	16.048526660363052
53	0.004852124885832136	704.4184975108004	0.42867271382747707	0.5133874575590963	0.1383702690599507	14.968580945351437
54	0.004891963881922378	665.5084700171589	0.43868699117256466	0.8671754733238475	0.1398350973987166	13.918412247499223
55	0.00493180287801262	602.5617343529058	0.44870126851765224	1.0997248190115285	0.14129992573748248	12.930191160028205
56	0.004971641874102861	558.8443442766155	0.4587155458627398	1.0480114858335772	0.14276475407624836	11.97286592874631
57	0.005011480870193103	568.1548476295384	0.4687298232078274	0.7493234951104324	0.14422958241501427	11.01278177365816
58	0.005051319866283345	625.3170633084975	0.478744100552915	0.4023553088312132	0.14569441075378015	10.081756455542125
59	0.005091158862373586	688.5725460146673	0.4887583778980026	0.16253186432608732	0.14715923909254605	9.317883337132491
60	0.005130997858463828	706.426965955069	0.49877265524309017	0.04902550189280765	0.14862406743131193	8.946378309349118
61	0.00517083685455407	651.0878952369953	0.5087869325881778	0.011228117481505984	0.15008889577007783	9.190208804024351
62	0.005210675850644311	530.0224548795737	0.5188012099332653	0.0018939960355996539	0.1515537241088437	10.140536619568797
63	0.005250514846734553	377.8440855285154	0.5288154872783529	2.4708850911062265e-4	0.15301855244760962	11.652907245450427
64	0.005290353842824794	234.62395109030643	0.5388297646234405	2.317791127648978e-5	0.1544833807863755	13.335847650307068
65	0.005330192838915036	125.99697814113931	0.5488440419685281	1.731869761595542e-6	0.1559482091251414	14.657038941815506
66	0.0053700318350052775	58.54346488393005	0.5588583193136156	8.977097497160341e-8	0.15741303746390728	15.129567947202446
67	0.005409870831095519	23.315417397418475	0.5688725966587033	3.864646139922606e-9	0.15887786580267316	14.493611342661177
68	0.0054497098271857605	7.893998056513794	0.5788868740037908	1.0996049743012464e-10	0.16034269414143906	12.807047688374983
69	0.0054895488232760015	2.3001750431508645	0.5889011513488784	2.7437732881720653e-12	0.16180752248020494	10.403993359829112
70	0.0055293878193662434	0.5699952994354707	0.598915428693966	4.364198719538256e-14	0.16327235081897085	7.760350251777906
71	0.005569226815456485	0.11859364529557807	0.6089297060390535	7.248279084184697e-16	0.16473717915773672	5.309189999048624
72	0.005609065811546726	0.02112587970619507	0.6189439833841411	4.2915753460893655e-17	0.16620200749650263	3.328698142815335
73	0.005648904807636968	0.0032190126328900857	0.6289582607292287	4.1711272255169804e-17	0.1676668358352685	1.9111205440228634
74	0.00568874380372721	4.0797823656447247e-4	0.6389725380743163	0	0.1691316641740344	1.0040386211654122
75	0.005728582799817451	4.368997102611548e-5	0.6489868154194038	0	0.1705964925128003	0.48236735936841063
76	0.005768421795907693	4.100921711182187e-6	0.6590010927644915	0	0.17206132085156617	0.21193658603091126
77	0.005808260791997935	5.136501640832712e-7	0.669015370109579	0	0.17352614919033207	0.08573476007160825
78	0.005848099788088176	2.4814567098287953e-6	0.6790296474546667	0	0.17499097752909795	0.034012007395416974
79	0.005887938784178418	2.705698723592451e-5	0.6890439247997542	2.1933193884685398e-15	0.17645580586786386	0.019359534338630177
80	0.005927777780268659	2.4363736422091512e-4	0.6990582021448418	1.8341672963090007e-13	0.17792063420662974	0.027879580585713375
81	0.005967616776358901	0.0018293783940895667	0.7090724794899294	1.028763952633478e-11	0.17938546254539564	0.0627052955521901
82	0.006007455772449143	0.012090043545792562	0.719086756835017	3.9949344536348986e-10	0.18085029088416152	0.14075661022176178
83	0.006047294768539384	0.06627792048879494	0.7291010341801045	1.2363556380722504e-8	0.18231511922292742	0.29062322807260765
84	0.006087133764629626	0.3044931248589825	0.7391153115251922	2.7544663165304123e-7	0.1837799475616933	0.5466847613621183
85	0.006126972760719867	1.2018965695178634	0.7491295888702797	4.739272879205042e-6	0.18524477590045918	0.9360458585092979
86	0.006166811756810109	3.99586340025644	0.7591438662153672	6.021976302113525e-5	0.18670960423922509	1.4588893584176366
87	0.006206650752900351	11.185470150547221	0.7691581435604549	5.796617511264659e-4	0.18817443257799096	2.0699069040786395
88	0.006246489748990592	26.591081598726344	0.7791724209055424	0.004179720304613364	0.18963926091675687	2.6736619353214217
89	0.006286328745080834	53.49158505306291	0.78918669825063	0.0226217583589619	0.19110408925552275	3.14409335403725
90	0.006326167741171076	90.92512660897239	0.7992009755957176	0.092211748745266	0.19256891759428865	3.365932647957235
91	0.006366006737261317	130.83396757280914	0.8092152529408052	0.2815764156050146	0.19403374593305453	3.280239086331541
92	0.006405845733351559	159.17459562209106	0.8192295302858927	0.6473552439230629	0.19549857427182044	2.909019737961572
93	0.0064456847294418005	163.94496330025774	0.8292438076309804	1.1170466363592446	0.1969634026105863	2.348266510361372
94	0.0064855237255320415	142.92277408665026	0.8392580849760679	1.4475493137117075	0.1984282309493522	1.7258214363191153
95	0.0065253627216222835	105.30516600751648	0.8492723623211555	1.4110069385683173	0.1998930592881181	1.1547692409270716
