Sim	T1	W	k	Ratio_2014	Antigen_2016	MF_2016
1	0.005231241194996983	0.42481335476040843	0.018847247399389744	0.4789402173913043	6.445477599323753	3.7846768615999387
1	0.005231241194996983	0.42481335476040843	0.018847247399389744	0.4525273224043716	6.521697370190369	3.7190003265651113
1	0.005231241194996983	0.42481335476040843	0.018847247399389744	0.4531743247983164	6.337676313463238	3.643491294823014
1	0.005231241194996983	0.42481335476040843	0.018847247399389744	0.47054863682261866	6.41430677618856	3.7126390564267524
1	0.005231241194996983	0.42481335476040843	0.018847247399389744	0.46733842946490617	6.275820987298476	3.631751887934513
2	0.006914607661310583	0.4328420523554087	0.12692194178234786	0.23620823620823622	10.575926281435976	3.4536379343444037
2	0.006914607661310583	0.4328420523554087	0.12692194178234786	0.25061762283832006	9.879952441222722	3.3482913358646877
2	0.006914607661310583	0.4328420523554087	0.12692194178234786	0.23464140730717187	9.902256500324539	3.260662059486083
2	0.006914607661310583	0.4328420523554087	0.12692194178234786	0.2399161864850707	10.148704583780468	3.395676835811743
2	0.006914607661310583	0.4328420523554087	0.12692194178234786	0.24123989218328842	10.139866848295313	3.40169989063909
3	0.009148977899458259	0.4903816422447562	0.1500073632225394	0.027795325331648767	1.964802083532814	0
3	0.009148977899458259	0.4903816422447562	0.1500073632225394	0.028814669286182055	1.9465371524723698	0
3	0.009148977899458259	0.4903816422447562	0.1500073632225394	0.027994791666666668	2.011906812917552	0
3	0.009148977899458259	0.4903816422447562	0.1500073632225394	0.03063308373042886	1.8429824897505651	0
3	0.009148977899458259	0.4903816422447562	0.1500073632225394	0.027795325331648767	12.220671725957219	4.153843212968096
3	0.009148977899458259	0.4903816422447562	0.1500073632225394	0.028814669286182055	12.380423968776306	4.509451289507921
3	0.009148977899458259	0.4903816422447562	0.1500073632225394	0.027994791666666668	13.484587401876317	4.912885314953092
3	0.009148977899458259	0.4903816422447562	0.1500073632225394	0.03063308373042886	13.49901320201575	4.968479947881738
3	0.009148977899458259	0.4903816422447562	0.1500073632225394	0.24519339515946617	12.810472570924029	4.574071941341319
4	0.003108046578709036	0.3232885675504804	0.014828711561858653	0.3527426160337553	4.779777862887783	2.267330524703179
